PRODUCTO;TIPO CONTRATO;TIPO OPCION;EJERCICIO;FECHA;ANTERIOR;PRIMERO;MINIMO;MAXIMO;ULTIMO;VOLUMEN;AJUSTE / PRIMA REF.;T. IMPLICITA;VAR %;IA;VAR. IA;TRADES
CRN Matba;CRN.CME/AGO23;;;03-07-2023;195,600000;192,800000;192,800000;195,000000;195,000000;32;192,800000;;-1,431493;107,000000;-26,000000;3
CRN Matba;CRN.CME/NOV23;;;03-07-2023;202,500000;200,000000;196,700000;200,000000;197,000000;2291;197,000000;;-2,716049;4232,000000;1867,000000;42
CRN Matba;CRN.CME/ABR24;;;03-07-2023;204,000000;205,000000;201,700000;205,000000;202,000000;953;202,000000;;-0,980392;1084,000000;-923,000000;46
MAI Dolar MATba;MAI.ROS/JUL23;;;03-07-2023;182,500000;182,000000;179,000000;182,000000;179,500000;674;180,000000;;-1,369863;4176,000000;-150,000000;255
MAI Dolar MATba;MAI.ROS/SEP23;;;03-07-2023;185,600000;185,000000;182,000000;185,000000;183,000000;70;183,000000;;-1,400862;2726,000000;-6,000000;41
MAI Dolar MATba;MAI.ROS/DIC23;;;03-07-2023;191,600000;190,000000;185,500000;190,000000;185,500000;418;185,500000;;-3,183716;5814,000000;164,000000;181
MAI Dolar MATba;MAI.ROS/ABR24;;;03-07-2023;186,000000;184,500000;180,000000;184,500000;182,000000;174;182,000000;;-2,150538;1819,000000;-31,000000;128
MAI Dolar MATba;MAI.ROS/JUL24;;;03-07-2023;172,000000;170,500000;169,000000;171,500000;170,000000;28;170,000000;;-1,162791;1014,000000;8,000000;22
MAI MIN;MAI.MIN/DIC23;;;03-07-2023;191,600000;189,500000;186,000000;189,500000;186,200000;15;185,500000;;-3,183716;106,000000;1,000000;8
MAI MIN;MAI.MIN/ABR24;;;03-07-2023;186,000000;185,000000;180,500000;185,000000;180,500000;7;182,000000;;-2,150538;36,000000;-2,000000;5
MAI Pesos MATba;MAI.ROS.P/DIS23;;;03-07-2023;48000,000000;47500,000000;47500,000000;47500,000000;47500,000000;52;47500,000000;;-1,041667;52,000000;23,000000;10
SOJ Dolar MATba;SOJ.ROS/JUL23;;;03-07-2023;367,100000;370,000000;360,000000;372,000000;360,000000;304;360,000000;;-1,934078;1994,000000;-117,000000;166
SOJ Dolar MATba;SOJ.ROS/SEP23;;;03-07-2023;373,000000;373,000000;364,500000;373,000000;364,500000;11;364,500000;;-2,278820;134,000000;1,000000;10
SOJ Dolar MATba;SOJ.ROS/NOV23;;;03-07-2023;376,500000;378,000000;365,500000;379,000000;365,500000;369;365,500000;;-2,921647;6060,000000;186,000000;209
SOJ Dolar MATba;SOJ.ROS/ENE24;;;03-07-2023;375,000000;373,000000;365,000000;373,000000;365,000000;9;365,000000;;-2,666667;193,000000;0,000000;9
SOJ Dolar MATba;SOJ.ROS/MAY24;;;03-07-2023;339,000000;341,000000;336,000000;342,000000;336,500000;278;336,500000;;-0,737463;6318,000000;98,000000;170
SOJ Dolar MATba;SOJ.ROS/JUL24;;;03-07-2023;344,000000;342,000000;340,000000;342,000000;340,000000;10;340,000000;;-1,162791;48,000000;1,000000;4
SOJ MIN;SOJ.MIN/NOV23;;;03-07-2023;376,500000;378,900000;368,800000;379,000000;368,800000;14;365,500000;;-2,921647;6619,000000;3,000000;6
SOJ MIN;SOJ.MIN/MAY24;;;03-07-2023;339,000000;341,500000;337,000000;341,500000;337,000000;14;336,500000;;-0,737463;212,000000;8,000000;5
SOJ Pesos MATba;SOJ.ROS.P/DIS23;;;03-07-2023;96000,000000;95000,000000;94000,000000;95000,000000;94000,000000;15;94000,000000;;-2,083333;15,000000;14,000000;4
SOY Matba;SOY.CME/OCT23;;;03-07-2023;492,400000;504,300000;497,400000;504,300000;497,400000;1062;497,400000;;1,015435;1537,000000;746,000000;46
SOY Matba;SOY.CME/ABR24;;;03-07-2023;484,900000;490,000000;490,000000;494,400000;491,000000;810;489,900000;;1,031140;1241,000000;420,000000;29
TRI Dolar MATba;TRI.ROS/JUL23;;;03-07-2023;284,600000;282,000000;278,000000;283,500000;282,000000;66;282,000000;;-0,913563;1184,000000;-39,000000;48
TRI Dolar MATba;TRI.ROS/DIC23;;;03-07-2023;226,000000;226,000000;225,500000;227,700000;227,700000;47;227,700000;;0,752212;2775,000000;7,000000;33
TRI Dolar MATba;TRI.ROS/ENE24;;;03-07-2023;228,500000;228,900000;228,900000;228,900000;228,900000;1;228,900000;;0,175055;86,000000;-1,000000;1
TRI MIN;TRI.MIN/DIC23;;;03-07-2023;226,000000;226,000000;225,900000;227,600000;227,600000;25;227,700000;;0,752212;131,000000;-9,000000;9
MAI Dolar MATba;MAI.ROS/JUL23;;;04-07-2023;180,000000;178,000000;178,000000;181,100000;180,500000;413;180,500000;;0,277778;3791,000000;-385,000000;208
MAI Dolar MATba;MAI.ROS/SEP23;;;04-07-2023;183,000000;183,000000;182,000000;183,100000;183,000000;36;183,000000;;0,000000;2709,000000;-17,000000;24
MAI Dolar MATba;MAI.ROS/DIC23;;;04-07-2023;185,500000;185,500000;184,500000;186,100000;184,600000;308;184,600000;;-0,485175;5845,000000;31,000000;143
