PRODUCTO,TIPO CONTRATO,FECHA,AJUSTE / PRIMA REF.
CRN Matba,CRN.CME/AGO23,2023-07-03,192.8
CRN Matba,CRN.CME/NOV23,2023-07-03,197.0
CRN Matba,CRN.CME/ABR24,2023-07-03,202.0
MAI Dolar MATba,MAI.ROS/JUL23,2023-07-03,180.0
MAI Dolar MATba,MAI.ROS/SEP23,2023-07-03,183.0
MAI Dolar MATba,MAI.ROS/DIC23,2023-07-03,185.5
MAI Dolar MATba,MAI.ROS/ABR24,2023-07-03,182.0
MAI Dolar MATba,MAI.ROS/JUL24,2023-07-03,170.0
MAI MIN,MAI.MIN/DIC23,2023-07-03,185.5
MAI MIN,MAI.MIN/ABR24,2023-07-03,182.0
MAI Pesos MATba,MAI.ROS.P/DIS23,2023-07-03,47500.0
SOJ Dolar MATba,SOJ.ROS/JUL23,2023-07-03,360.0
SOJ Dolar MATba,SOJ.ROS/SEP23,2023-07-03,364.5
SOJ Dolar MATba,SOJ.ROS/NOV23,2023-07-03,365.5
SOJ Dolar MATba,SOJ.ROS/ENE24,2023-07-03,365.0
SOJ Dolar MATba,SOJ.ROS/MAY24,2023-07-03,336.5
SOJ Dolar MATba,SOJ.ROS/JUL24,2023-07-03,340.0
SOJ MIN,SOJ.MIN/NOV23,2023-07-03,365.5
SOJ MIN,SOJ.MIN/MAY24,2023-07-03,336.5
SOJ Pesos MATba,SOJ.ROS.P/DIS23,2023-07-03,94000.0
SOY Matba,SOY.CME/OCT23,2023-07-03,497.4
SOY Matba,SOY.CME/ABR24,2023-07-03,489.9
TRI Dolar MATba,TRI.ROS/JUL23,2023-07-03,282.0
TRI Dolar MATba,TRI.ROS/DIC23,2023-07-03,227.7
TRI Dolar MATba,TRI.ROS/ENE24,2023-07-03,228.9
TRI MIN,TRI.MIN/DIC23,2023-07-03,227.7
MAI Dolar MATba,MAI.ROS/JUL23,2023-07-04,180.5
MAI Dolar MATba,MAI.ROS/SEP23,2023-07-04,183.0
MAI Dolar MATba,MAI.ROS/DIC23,2023-07-04,184.6
MAI Dolar MATba,MAI.ROS/ABR24,2023-07-04,182.5
MAI Dolar MATba,MAI.ROS/JUL24,2023-07-04,170.0
MAI MIN,MAI.MIN/SEP23,2023-07-04,183.0
MAI MIN,MAI.MIN/DIC23,2023-07-04,184.6
MAI MIN,MAI.MIN/ABR24,2023-07-04,182.5
MAI Pesos MATba,MAI.ROS.P/DIS23,2023-07-04,47500.0
SOJ Dolar MATba,SOJ.ROS/JUL23,2023-07-04,361.0
SOJ Dolar MATba,SOJ.ROS/SEP23,2023-07-04,364.0
SOJ Dolar MATba,SOJ.ROS/NOV23,2023-07-04,365.5
SOJ Dolar MATba,SOJ.ROS/ENE24,2023-07-04,363.0
SOJ Dolar MATba,SOJ.ROS/MAY24,2023-07-04,335.0
SOJ Dolar MATba,SOJ.ROS/JUL24,2023-07-04,339.7
SOJ MIN,SOJ.MIN/NOV23,2023-07-04,365.5
SOJ MIN,SOJ.MIN/MAY24,2023-07-04,335.0
SOJ Pesos MATba,SOJ.ROS.P/DIS23,2023-07-04,94200.0
TRI Dolar MATba,TRI.ROS/JUL23,2023-07-04,283.0
TRI Dolar MATba,TRI.ROS/SEP23,2023-07-04,276.5
TRI Dolar MATba,TRI.ROS/DIC23,2023-07-04,230.9
TRI Dolar MATba,TRI.ROS/ENE24,2023-07-04,233.0
TRI Dolar MATba,TRI.ROS/MAR24,2023-07-04,234.4
TRI MIN,TRI.MIN/DIC23,2023-07-04,230.9
CRN Matba,CRN.CME/AGO23,2023-07-05,191.0
CRN Matba,CRN.CME/NOV23,2023-07-05,198.0
CRN Matba,CRN.CME/ABR24,2023-07-05,202.3
CRN Matba,CRN.CME/JUN24,2023-07-05,203.8
MAI Dolar MATba,MAI.ROS/JUL23,2023-07-05,181.5
MAI Dolar MATba,MAI.ROS/SEP23,2023-07-05,183.5
MAI Dolar MATba,MAI.ROS/DIC23,2023-07-05,186.5
MAI Dolar MATba,MAI.ROS/ABR24,2023-07-05,183.0
MAI Dolar MATba,MAI.ROS/JUL24,2023-07-05,170.0
MAI MIN,MAI.MIN/SEP23,2023-07-05,183.5
MAI MIN,MAI.MIN/DIC23,2023-07-05,186.5
MAI MIN,MAI.MIN/ABR24,2023-07-05,183.0
MAI Pesos MATba,MAI.ROS.P/DIS23,2023-07-05,47500.0
SOJ Dolar MATba,SOJ.ROS/JUL23,2023-07-05,360.5
SOJ Dolar MATba,SOJ.ROS/SEP23,2023-07-05,360.0
SOJ Dolar MATba,SOJ.ROS/NOV23,2023-07-05,360.0
SOJ Dolar MATba,SOJ.ROS/ENE24,2023-07-05,359.8
SOJ Dolar MATba,SOJ.ROS/MAY24,2023-07-05,333.0
SOJ MIN,SOJ.MIN/NOV23,2023-07-05,360.0
SOJ MIN,SOJ.MIN/MAY24,2023-07-05,333.0
SOJ Pesos MATba,SOJ.ROS.P/DIS23,2023-07-05,93000.0
SOY Matba,SOY.CME/OCT23,2023-07-05,495.0
SOY Matba,SOY.CME/ABR24,2023-07-05,491.8
TRI Disponible,TRI.BA/DIS23,2023-07-05,291.0
TRI Dolar MATba,TRI.ROS/JUL23,2023-07-05,285.0
TRI Dolar MATba,TRI.ROS/SEP23,2023-07-05,277.0
TRI Dolar MATba,TRI.ROS/DIC23,2023-07-05,232.5
TRI Dolar MATba,TRI.ROS/ENE24,2023-07-05,234.5
TRI MIN,TRI.MIN/DIC23,2023-07-05,232.5
CRN Matba,CRN.CME/AGO23,2023-07-06,196.7
CRN Matba,CRN.CME/NOV23,2023-07-06,202.8
CRN Matba,CRN.CME/ABR24,2023-07-06,208.0
MAI Dolar MATba,MAI.ROS/JUL23,2023-07-06,185.5
MAI Dolar MATba,MAI.ROS/SEP23,2023-07-06,185.4
MAI Dolar MATba,MAI.ROS/DIC23,2023-07-06,187.1
MAI Dolar MATba,MAI.ROS/ABR24,2023-07-06,184.5
MAI Dolar MATba,MAI.ROS/JUL24,2023-07-06,170.5
MAI MIN,MAI.MIN/SEP23,2023-07-06,185.4
MAI MIN,MAI.MIN/DIC23,2023-07-06,187.1
MAI MIN,MAI.MIN/ABR24,2023-07-06,184.5
MAI Pesos MATba,MAI.ROS.P/DIS23,2023-07-06,48550.0
SOJ Dolar MATba,SOJ.ROS/JUL23,2023-07-06,359.0
SOJ Dolar MATba,SOJ.ROS/SEP23,2023-07-06,358.0
SOJ Dolar MATba,SOJ.ROS/NOV23,2023-07-06,358.5
SOJ Dolar MATba,SOJ.ROS/ENE24,2023-07-06,357.5
SOJ Dolar MATba,SOJ.ROS/MAY24,2023-07-06,331.0
SOJ Dolar MATba,SOJ.ROS/JUL24,2023-07-06,335.0
SOJ MIN,SOJ.MIN/NOV23,2023-07-06,358.5
SOJ MIN,SOJ.MIN/MAY24,2023-07-06,331.0
SOJ Pesos MATba,SOJ.ROS.P/DIS23,2023-07-06,93000.0
SOY Matba,SOY.CME/OCT23,2023-07-06,491.5
SOY Matba,SOY.CME/ABR24,2023-07-06,488.2
TRI Dolar MATba,TRI.ROS/JUL23,2023-07-06,287.0
TRI Dolar MATba,TRI.ROS/DIC23,2023-07-06,229.0
TRI Dolar MATba,TRI.ROS/ENE24,2023-07-06,231.0
TRI MIN,TRI.MIN/DIC23,2023-07-06,229.0
CRN Matba,CRN.CME/AGO23,2023-07-07,194.0
CRN Matba,CRN.CME/NOV23,2023-07-07,199.1
CRN Matba,CRN.CME/ABR24,2023-07-07,203.3
MAI Dolar MATba,MAI.ROS/JUL23,2023-07-07,181.2
MAI Dolar MATba,MAI.ROS/SEP23,2023-07-07,183.1
MAI Dolar MATba,MAI.ROS/DIC23,2023-07-07,185.5
MAI Dolar MATba,MAI.ROS/ABR24,2023-07-07,183.0
MAI Dolar MATba,MAI.ROS/JUL24,2023-07-07,170.0
MAI MIN,MAI.MIN/DIC23,2023-07-07,185.5
MAI MIN,MAI.MIN/ABR24,2023-07-07,183.0
MAI Pesos MATba,MAI.ROS.P/DIS23,2023-07-07,48000.0
SOJ Dolar MATba,SOJ.ROS/JUL23,2023-07-07,356.0
SOJ Dolar MATba,SOJ.ROS/SEP23,2023-07-07,355.6
SOJ Dolar MATba,SOJ.ROS/NOV23,2023-07-07,357.5
SOJ Dolar MATba,SOJ.ROS/ENE24,2023-07-07,357.0
SOJ Dolar MATba,SOJ.ROS/MAY24,2023-07-07,330.6
SOJ Dolar MATba,SOJ.ROS/JUL24,2023-07-07,333.5
SOJ MIN,SOJ.MIN/NOV23,2023-07-07,357.5
SOJ Pesos MATba,SOJ.ROS.P/DIS23,2023-07-07,93000.0
SOY Matba,SOY.CME/OCT23,2023-07-07,483.5
SOY Matba,SOY.CME/DIC23,2023-07-07,487.2
SOY Matba,SOY.CME/ABR24,2023-07-07,483.3
TRI Dolar MATba,TRI.ROS/JUL23,2023-07-07,281.0
TRI Dolar MATba,TRI.ROS/SEP23,2023-07-07,277.0
TRI Dolar MATba,TRI.ROS/DIC23,2023-07-07,227.0
TRI Dolar MATba,TRI.ROS/ENE24,2023-07-07,230.0
CRN Matba,CRN.CME/AGO23,2023-07-10,195.2
CRN Matba,CRN.CME/NOV23,2023-07-10,200.8
CRN Matba,CRN.CME/JUN24,2023-07-10,204.0
MAI Dolar MATba,MAI.ROS/JUL23,2023-07-10,181.5
MAI Dolar MATba,MAI.ROS/SEP23,2023-07-10,182.0
MAI Dolar MATba,MAI.ROS/DIC23,2023-07-10,185.5
MAI Dolar MATba,MAI.ROS/ABR24,2023-07-10,184.0
MAI Dolar MATba,MAI.ROS/JUL24,2023-07-10,170.0
MAI MIN,MAI.MIN/DIC23,2023-07-10,185.5
MAI MIN,MAI.MIN/ABR24,2023-07-10,184.0
SOJ Dolar MATba,SOJ.ROS/JUL23,2023-07-10,359.0
SOJ Dolar MATba,SOJ.ROS/SEP23,2023-07-10,358.0
SOJ Dolar MATba,SOJ.ROS/NOV23,2023-07-10,361.5
SOJ Dolar MATba,SOJ.ROS/ENE24,2023-07-10,362.5
SOJ Dolar MATba,SOJ.ROS/MAY24,2023-07-10,333.0
SOJ Dolar MATba,SOJ.ROS/JUL24,2023-07-10,336.5
SOJ MIN,SOJ.MIN/NOV23,2023-07-10,361.5
SOJ MIN,SOJ.MIN/MAY24,2023-07-10,333.0
SOJ Pesos MATba,SOJ.ROS.P/DIS23,2023-07-10,93000.0
SOY Matba,SOY.CME/OCT23,2023-07-10,493.0
SOY Matba,SOY.CME/ABR24,2023-07-10,488.8
TRI Dolar MATba,TRI.ROS/JUL23,2023-07-10,282.0
TRI Dolar MATba,TRI.ROS/SEP23,2023-07-10,280.0
TRI Dolar MATba,TRI.ROS/DIC23,2023-07-10,225.1
TRI Dolar MATba,TRI.ROS/ENE24,2023-07-10,228.0
TRI MIN,TRI.MIN/DIC23,2023-07-10,225.1
CRN Matba,CRN.CME/AGO23,2023-07-11,195.7
CRN Matba,CRN.CME/NOV23,2023-07-11,200.8
CRN Matba,CRN.CME/ABR24,2023-07-11,205.4
CRN Matba,CRN.CME/JUN24,2023-07-11,205.9
MAI Dolar MATba,MAI.ROS/JUL23,2023-07-11,185.0
MAI Dolar MATba,MAI.ROS/SEP23,2023-07-11,183.0
MAI Dolar MATba,MAI.ROS/DIC23,2023-07-11,187.0
MAI Dolar MATba,MAI.ROS/ABR24,2023-07-11,183.0
MAI Dolar MATba,MAI.ROS/JUL24,2023-07-11,170.0
MAI MIN,MAI.MIN/SEP23,2023-07-11,183.0
MAI MIN,MAI.MIN/DIC23,2023-07-11,187.0
MAI MIN,MAI.MIN/ABR24,2023-07-11,183.0
SOJ Dolar MATba,SOJ.ROS/JUL23,2023-07-11,363.0
SOJ Dolar MATba,SOJ.ROS/SEP23,2023-07-11,358.0
SOJ Dolar MATba,SOJ.ROS/NOV23,2023-07-11,363.0
SOJ Dolar MATba,SOJ.ROS/ENE24,2023-07-11,363.5
SOJ Dolar MATba,SOJ.ROS/MAY24,2023-07-11,332.0
SOJ Dolar MATba,SOJ.ROS/JUL24,2023-07-11,335.7
SOJ MIN,SOJ.MIN/NOV23,2023-07-11,363.0
SOJ MIN,SOJ.MIN/MAY24,2023-07-11,332.0
SOJ Pesos MATba,SOJ.ROS.P/DIS23,2023-07-11,95000.0
SOY Matba,SOY.CME/OCT23,2023-07-11,498.4
SOY Matba,SOY.CME/DIC23,2023-07-11,501.1
SOY Matba,SOY.CME/ABR24,2023-07-11,492.0
TRI Dolar MATba,TRI.ROS/JUL23,2023-07-11,282.0
TRI Dolar MATba,TRI.ROS/DIC23,2023-07-11,224.0
TRI Dolar MATba,TRI.ROS/ENE24,2023-07-11,227.0
TRI MIN,TRI.MIN/DIC23,2023-07-11,224.0
CRN Matba,CRN.CME/AGO23,2023-07-12,187.5
CRN Matba,CRN.CME/NOV23,2023-07-12,193.9
CRN Matba,CRN.CME/ABR24,2023-07-12,198.0
CRN Matba,CRN.CME/JUN24,2023-07-12,199.2
MAI Dolar MATba,MAI.ROS/JUL23,2023-07-12,182.5
MAI Dolar MATba,MAI.ROS/SEP23,2023-07-12,181.0
MAI Dolar MATba,MAI.ROS/DIC23,2023-07-12,183.2
MAI Dolar MATba,MAI.ROS/ABR24,2023-07-12,183.0
MAI Dolar MATba,MAI.ROS/JUL24,2023-07-12,169.0
