FECHA,PRODUCTO,TIPO CONTRATO,AJUSTE / PRIMA REF.
2020-01-02,MAI Dolar MATba,MAI.ROS/ABR20,140.0
2020-01-02,MAI Dolar MATba,MAI.ROS/JUL20,133.7
2020-01-02,SOJ Dolar MATba,SOJ.ROS/ENE20,261.5
2020-01-02,SOJ Dolar MATba,SOJ.ROS/MAY20,237.6
2020-01-02,SOJ Dolar MATba,SOJ.ROS/JUL20,242.5
2020-01-02,SOJ Dolar MATba,SOJ.ROS/NOV20,249.5
2020-01-02,TRI Dolar MATba,TRI.ROS/ENE20,190.0
2020-01-02,TRI Dolar MATba,TRI.ROS/MAR20,195.0
2020-01-02,TRI Dolar MATba,TRI.ROS/JUL20,202.0
2020-01-02,TRI Dolar MATba,TRI.ROS/DIC20,163.9
2020-01-02,TRI Dolar MATba,TRI.ROS/ENE21,166.0
2020-01-03,MAI Dolar MATba,MAI.ROS/ABR20,141.0
2020-01-03,MAI Dolar MATba,MAI.ROS/JUL20,135.0
2020-01-03,SOJ Dolar MATba,SOJ.ROS/ENE20,259.5
2020-01-03,SOJ Dolar MATba,SOJ.ROS/MAY20,237.1
2020-01-03,SOJ Dolar MATba,SOJ.ROS/JUL20,242.0
2020-01-03,SOJ Dolar MATba,SOJ.ROS/NOV20,249.0
2020-01-03,TRI Disponible,TRI.BA/DIS20,185.0
2020-01-03,TRI Dolar MATba,TRI.ROS/ENE20,188.9
2020-01-03,TRI Dolar MATba,TRI.ROS/MAR20,194.0
2020-01-03,TRI Dolar MATba,TRI.BA/MAR20,199.0
2020-01-03,TRI Dolar MATba,TRI.BA/JUL20,205.0
2020-01-03,TRI Dolar MATba,TRI.ROS/JUL20,202.0
2020-01-03,TRI Dolar MATba,TRI.ROS/DIC20,165.0
2020-01-03,TRI Dolar MATba,TRI.ROS/ENE21,167.0
2020-01-06,MAI Dolar MATba,MAI.ROS/ABR20,140.5
2020-01-06,MAI Dolar MATba,MAI.ROS/JUL20,134.5
2020-01-06,SOJ Dolar MATba,SOJ.ROS/ENE20,262.5
2020-01-06,SOJ Dolar MATba,SOJ.ROS/MAY20,238.1
2020-01-06,SOJ Dolar MATba,SOJ.ROS/JUL20,243.0
2020-01-06,SOJ Dolar MATba,SOJ.ROS/NOV20,250.0
2020-01-06,TRI Disponible,TRI.BA/DIS20,182.0
2020-01-06,TRI Dolar MATba,TRI.BA/ENE20,188.1
2020-01-06,TRI Dolar MATba,TRI.ROS/ENE20,184.5
2020-01-06,TRI Dolar MATba,TRI.ROS/MAR20,189.5
2020-01-06,TRI Dolar MATba,TRI.BA/MAR20,194.6
2020-01-06,TRI Dolar MATba,TRI.BA/JUL20,203.0
2020-01-06,TRI Dolar MATba,TRI.ROS/JUL20,198.0
2020-01-07,MAI Dolar MATba,MAI.ROS/ENE20,147.0
2020-01-07,MAI Dolar MATba,MAI.ROS/ABR20,142.5
2020-01-07,MAI Dolar MATba,MAI.ROS/JUL20,136.0
2020-01-07,MAI Dolar MATba,MAI.ROS/SEP20,138.0
2020-01-07,MAI Dolar MATba,MAI.ROS/DIC20,142.0
2020-01-07,SOJ Dolar MATba,SOJ.ROS/ENE20,262.0
2020-01-07,SOJ Dolar MATba,SOJ.ROS/MAY20,237.7
2020-01-07,SOJ Dolar MATba,SOJ.ROS/JUL20,242.5
2020-01-07,TRI Disponible,TRI.BA/DIS20,185.5
2020-01-07,TRI Dolar MATba,TRI.BA/ENE20,188.0
2020-01-07,TRI Dolar MATba,TRI.ROS/ENE20,185.0
2020-01-07,TRI Dolar MATba,TRI.ROS/MAR20,189.8
2020-01-07,TRI Dolar MATba,TRI.BA/MAR20,195.0
2020-01-07,TRI Dolar MATba,TRI.BA/JUL20,204.5
2020-01-07,TRI Dolar MATba,TRI.ROS/JUL20,198.5
2020-01-08,MAI Dolar MATba,MAI.ROS/ABR20,143.5
2020-01-08,MAI Dolar MATba,MAI.ROS/JUL20,136.8
2020-01-08,MAI Dolar MATba,MAI.ROS/DIC20,141.5
2020-01-08,SOJ Dolar MATba,SOJ.ROS/ENE20,263.5
2020-01-08,SOJ Dolar MATba,SOJ.ROS/FEB20,257.0
2020-01-08,SOJ Dolar MATba,SOJ.ROS/MAY20,237.4
2020-01-08,SOJ Dolar MATba,SOJ.ROS/JUL20,242.3
2020-01-08,SOJ Dolar MATba,SOJ.ROS/NOV20,249.2
2020-01-08,TRI Disponible,TRI.BA/DIS20,187.5
2020-01-08,TRI Dolar MATba,TRI.ROS/ENE20,186.5
2020-01-08,TRI Dolar MATba,TRI.BA/ENE20,189.0
2020-01-08,TRI Dolar MATba,TRI.ROS/MAR20,190.5
2020-01-08,TRI Dolar MATba,TRI.ROS/JUL20,198.5
2020-01-08,TRI Dolar MATba,TRI.ROS/ENE21,170.5
2020-01-09,MAI Dolar MATba,MAI.ROS/ENE20,151.0
2020-01-09,MAI Dolar MATba,MAI.ROS/ABR20,144.0
2020-01-09,MAI Dolar MATba,MAI.ROS/JUL20,136.0
2020-01-09,MAI Dolar MATba,MAI.ROS/DIC20,143.0
2020-01-09,SOJ Dolar MATba,SOJ.ROS/ENE20,267.0
2020-01-09,SOJ Dolar MATba,SOJ.ROS/FEB20,264.0
2020-01-09,SOJ Dolar MATba,SOJ.ROS/MAY20,237.0
2020-01-09,SOJ Dolar MATba,SOJ.ROS/JUL20,241.8
2020-01-09,SOJ Dolar MATba,SOJ.ROS/NOV20,248.8
2020-01-09,TRI Dolar MATba,TRI.ROS/ENE20,190.0
2020-01-09,TRI Dolar MATba,TRI.BA/ENE20,190.0
2020-01-09,TRI Dolar MATba,TRI.ROS/MAR20,194.0
2020-01-09,TRI Dolar MATba,TRI.BA/MAR20,197.5
2020-01-09,TRI Dolar MATba,TRI.ROS/JUL20,202.0
2020-01-09,TRI Dolar MATba,TRI.ROS/DIC20,169.5
2020-01-10,MAI Dolar MATba,MAI.ROS/ABR20,145.5
2020-01-10,MAI Dolar MATba,MAI.ROS/JUL20,137.5
2020-01-10,MAI Dolar MATba,MAI.ROS/SEP20,140.5
2020-01-10,MAI Dolar MATba,MAI.ROS/DIC20,144.5
2020-01-10,SOJ Dolar MATba,SOJ.ROS/ENE20,267.0
2020-01-10,SOJ Dolar MATba,SOJ.ROS/FEB20,264.0
2020-01-10,SOJ Dolar MATba,SOJ.ROS/MAY20,237.5
2020-01-10,SOJ Dolar MATba,SOJ.ROS/JUL20,242.2
2020-01-10,SOJ Dolar MATba,SOJ.ROS/NOV20,249.3
2020-01-10,TRI Dolar MATba,TRI.ROS/ENE20,194.0
2020-01-10,TRI Dolar MATba,TRI.BA/ENE20,195.2
2020-01-10,TRI Dolar MATba,TRI.ROS/MAR20,197.2
2020-01-10,TRI Dolar MATba,TRI.BA/MAR20,201.5
2020-01-10,TRI Dolar MATba,TRI.ROS/JUL20,203.5
2020-01-10,TRI Dolar MATba,TRI.ROS/DIC20,169.0
2020-01-13,MAI Dolar MATba,MAI.ROS/ABR20,148.0
2020-01-13,MAI Dolar MATba,MAI.ROS/JUL20,139.5
2020-01-13,MAI Dolar MATba,MAI.ROS/SEP20,140.1
2020-01-13,MAI Dolar MATba,MAI.ROS/DIC20,145.9
2020-01-13,SOJ Dolar MATba,SOJ.ROS/ENE20,266.3
2020-01-13,SOJ Dolar MATba,SOJ.ROS/FEB20,263.3
2020-01-13,SOJ Dolar MATba,SOJ.ROS/MAY20,236.5
2020-01-13,SOJ Dolar MATba,SOJ.ROS/JUL20,241.5
2020-01-13,TRI Dolar MATba,TRI.ROS/ENE20,200.0
2020-01-13,TRI Dolar MATba,TRI.ROS/MAR20,203.5
2020-01-13,TRI Dolar MATba,TRI.ROS/JUL20,209.5
2020-01-13,TRI Dolar MATba,TRI.ROS/DIC20,170.5
2020-01-13,TRI Dolar MATba,TRI.ROS/ENE21,173.0
2020-01-14,MAI Dolar MATba,MAI.ROS/ABR20,147.6
2020-01-14,MAI Dolar MATba,MAI.ROS/JUL20,139.5
2020-01-14,MAI Dolar MATba,MAI.ROS/SEP20,140.0
2020-01-14,MAI Dolar MATba,MAI.ROS/DIC20,146.0
2020-01-14,SOJ Dolar MATba,SOJ.ROS/ENE20,265.0
2020-01-14,SOJ Dolar MATba,SOJ.ROS/FEB20,262.0
2020-01-14,SOJ Dolar MATba,SOJ.ROS/MAY20,237.0
2020-01-14,SOJ Dolar MATba,SOJ.ROS/JUL20,241.7
2020-01-14,SOJ Dolar MATba,SOJ.ROS/NOV20,249.5
2020-01-14,TRI Dolar MATba,TRI.ROS/ENE20,203.0
