PRODUCTO,TIPO CONTRATO,FECHA,AJUSTE / PRIMA REF.
MAI Dolar MATba,MAI.ROS/ABR20,2020-01-02,140.0
MAI Dolar MATba,MAI.ROS/JUL20,2020-01-02,133.7
SOJ Dolar MATba,SOJ.ROS/ENE20,2020-01-02,261.5
SOJ Dolar MATba,SOJ.ROS/MAY20,2020-01-02,237.6
SOJ Dolar MATba,SOJ.ROS/JUL20,2020-01-02,242.5
SOJ Dolar MATba,SOJ.ROS/NOV20,2020-01-02,249.5
TRI Dolar MATba,TRI.ROS/ENE20,2020-01-02,190.0
TRI Dolar MATba,TRI.ROS/MAR20,2020-01-02,195.0
TRI Dolar MATba,TRI.ROS/JUL20,2020-01-02,202.0
TRI Dolar MATba,TRI.ROS/DIC20,2020-01-02,163.9
TRI Dolar MATba,TRI.ROS/ENE21,2020-01-02,166.0
MAI Dolar MATba,MAI.ROS/ABR20,2020-01-03,141.0
MAI Dolar MATba,MAI.ROS/JUL20,2020-01-03,135.0
SOJ Dolar MATba,SOJ.ROS/ENE20,2020-01-03,259.5
SOJ Dolar MATba,SOJ.ROS/MAY20,2020-01-03,237.1
SOJ Dolar MATba,SOJ.ROS/JUL20,2020-01-03,242.0
SOJ Dolar MATba,SOJ.ROS/NOV20,2020-01-03,249.0
TRI Disponible,TRI.BA/DIS20,2020-01-03,185.0
TRI Dolar MATba,TRI.ROS/ENE20,2020-01-03,188.9
TRI Dolar MATba,TRI.ROS/MAR20,2020-01-03,194.0
TRI Dolar MATba,TRI.BA/MAR20,2020-01-03,199.0
TRI Dolar MATba,TRI.BA/JUL20,2020-01-03,205.0
TRI Dolar MATba,TRI.ROS/JUL20,2020-01-03,202.0
TRI Dolar MATba,TRI.ROS/DIC20,2020-01-03,165.0
TRI Dolar MATba,TRI.ROS/ENE21,2020-01-03,167.0
MAI Dolar MATba,MAI.ROS/ABR20,2020-01-06,140.5
MAI Dolar MATba,MAI.ROS/JUL20,2020-01-06,134.5
SOJ Dolar MATba,SOJ.ROS/ENE20,2020-01-06,262.5
SOJ Dolar MATba,SOJ.ROS/MAY20,2020-01-06,238.1
SOJ Dolar MATba,SOJ.ROS/JUL20,2020-01-06,243.0
SOJ Dolar MATba,SOJ.ROS/NOV20,2020-01-06,250.0
TRI Disponible,TRI.BA/DIS20,2020-01-06,182.0
TRI Dolar MATba,TRI.BA/ENE20,2020-01-06,188.1
TRI Dolar MATba,TRI.ROS/ENE20,2020-01-06,184.5
TRI Dolar MATba,TRI.ROS/MAR20,2020-01-06,189.5
TRI Dolar MATba,TRI.BA/MAR20,2020-01-06,194.6
TRI Dolar MATba,TRI.BA/JUL20,2020-01-06,203.0
TRI Dolar MATba,TRI.ROS/JUL20,2020-01-06,198.0
MAI Dolar MATba,MAI.ROS/ENE20,2020-01-07,147.0
MAI Dolar MATba,MAI.ROS/ABR20,2020-01-07,142.5
MAI Dolar MATba,MAI.ROS/JUL20,2020-01-07,136.0
MAI Dolar MATba,MAI.ROS/SEP20,2020-01-07,138.0
MAI Dolar MATba,MAI.ROS/DIC20,2020-01-07,142.0
SOJ Dolar MATba,SOJ.ROS/ENE20,2020-01-07,262.0
SOJ Dolar MATba,SOJ.ROS/MAY20,2020-01-07,237.7
SOJ Dolar MATba,SOJ.ROS/JUL20,2020-01-07,242.5
TRI Disponible,TRI.BA/DIS20,2020-01-07,185.5
TRI Dolar MATba,TRI.BA/ENE20,2020-01-07,188.0
TRI Dolar MATba,TRI.ROS/ENE20,2020-01-07,185.0
TRI Dolar MATba,TRI.ROS/MAR20,2020-01-07,189.8
