PRODUCTO,TIPO CONTRATO,FECHA,AJUSTE / PRIMA REF.
AL30 MTR,AL30/AGO24,2024-07-19,66000.0
BITCOIN,BTC/JUL24,2024-07-19,92010000.0
CRN Matba,CRN.CME/NOV24,2024-07-19,162.0
CRN Matba,CRN.CME/ABR25,2024-07-19,170.5
CRN Matba,CRN.CME/JUN25,2024-07-19,172.2
DLR,DLR072024,2024-07-19,939.0
DLR,DLR082024,2024-07-19,979.0
DLR,DLR092024,2024-07-19,1027.0
DLR,DLR102024,2024-07-19,1077.0
DLR,DLR112024,2024-07-19,1121.0
DLR,DLR122024,2024-07-19,1176.5
DLR,DLR012025,2024-07-19,1236.0
DLR,DLR022025,2024-07-19,1293.0
DLR,DLR032025,2024-07-19,1333.0
DLR,DLR042025,2024-07-19,1374.0
DLR,DLR052025,2024-07-19,1420.0
DLR,DLR062025,2024-07-19,1462.0
GFG,GGAL082024,2024-07-19,3825.0
GFG,GGAL102024,2024-07-19,4250.0
MAI Disponible,MAI.ROS/DIS24,2024-07-19,172.5
MAI Dolar MATba,MAI.ROS/JUL24,2024-07-19,173.0
MAI Dolar MATba,MAI.ROS/SEP24,2024-07-19,174.9
MAI Dolar MATba,MAI.ROS/DIC24,2024-07-19,176.0
MAI Dolar MATba,MAI.ROS/ABR25,2024-07-19,169.0
MAI Dolar MATba,MAI.ROS/JUL25,2024-07-19,164.0
MAI MIN,MAI.MIN/SEP24,2024-07-19,174.9
MAI MIN,MAI.MIN/DIC24,2024-07-19,176.0
MAI MIN,MAI.MIN/ABR25,2024-07-19,169.0
MAI Pesos MATba,MAI.ROS.P/DIS24,2024-07-19,160000.0
ORO,ORO072024,2024-07-19,2400.0
ORO,ORO092024,2024-07-19,2424.0
ORO,ORO112024,2024-07-19,2447.7
PAMP MTR,PAMP082024,2024-07-19,2585.0
RFX20,RFX20082024,2024-07-19,228250.0
RFX20,RFX20102024,2024-07-19,236050.0
SOJ Disponible,SOJ.ROS/DIS24,2024-07-19,309.0
SOJ Dolar MATba,SOJ.ROS/JUL24,2024-07-19,312.0
SOJ Dolar MATba,SOJ.ROS/SEP24,2024-07-19,307.5
SOJ Dolar MATba,SOJ.ROS/NOV24,2024-07-19,306.5
SOJ Dolar MATba,SOJ.ROS/MAY25,2024-07-19,282.0
SOJ Dolar MATba,SOJ.ROS/JUL25,2024-07-19,285.7
SOJ MIN,SOJ.MIN/NOV24,2024-07-19,306.5
SOJ MIN,SOJ.MIN/MAY25,2024-07-19,282.0
SOJ Pesos MATba,SOJ.ROS.P/DIS24,2024-07-19,286500.0
SOR Disponible,SOR.ROS/DIS24,2024-07-19,186.5
SORGO,SOR.ROS/JUL24,2024-07-19,187.0
SORGO ARS,SOR.ROS.P/DIS24,2024-07-19,173000.0
SOY Matba,SOY.CME/OCT24,2024-07-19,380.5
SOY Matba,SOY.CME/ABR25,2024-07-19,397.6
SOY Matba,SOY.CME/JUN25,2024-07-19,399.0
TRI Disponible,TRI.ROS/DIS24,2024-07-19,248.0
TRI Dolar MATba,TRI.ROS/JUL24,2024-07-19,255.4
TRI Dolar MATba,TRI.ROS/SEP24,2024-07-19,248.0
TRI Dolar MATba,TRI.ROS/DIC24,2024-07-19,211.1
TRI Dolar MATba,TRI.ROS/ENE25,2024-07-19,213.0
TRI Dolar MATba,TRI.ROS/MAR25,2024-07-19,216.0
TRI MIN,TRI.MIN/DIC24,2024-07-19,211.1
TRI MIN,TRI.MIN/ENE25,2024-07-19,213.0
TRI Pesos MATba,TRI.ROS.P/DIS24,2024-07-19,230000.0
TRI Pesos MATba,TRI.BA.P/DIS24,2024-07-19,234000.0
TXAR MTR,TXAR/AGO24,2024-07-19,1084.0
WTI,WTI092024,2024-07-19,77.7
WTI,WTI112024,2024-07-19,75.94
YPFD MTR,YPFD082024,2024-07-19,28550.0
CRN Matba,CRN.CME/NOV24 185 C,2024-07-19,1.82389
CRN Matba,CRN.CME/NOV24 197 C,2024-07-19,0.69338
CRN Matba,CRN.CME/NOV24 202 C,2024-07-19,0.449029
CRN Matba,CRN.CME/NOV24 205 C,2024-07-19,0.343124
CRN Matba,CRN.CME/NOV24 208 C,2024-07-19,0.260635
CRN Matba,CRN.CME/NOV24 210 C,2024-07-19,0.216283
CRN Matba,CRN.CME/NOV24 216 C,2024-07-19,0.121774
CRN Matba,CRN.CME/NOV24 220 C,2024-07-19,0.08206
DLR,DLR072024 Call 946,2024-07-19,8.140022
