PRODUCTO,TIPO CONTRATO,FECHA,AJUSTE / PRIMA REF.
CRN Matba,CRN.CME/NOV24,2024-07-23,166.8
CRN Matba,CRN.CME/ABR25,2024-07-23,175.3
CRN Matba,CRN.CME/JUN25,2024-07-23,176.5
MAI Disponible,MAI.ROS/DIS24,2024-07-23,175.0
MAI Dolar MATba,MAI.ROS/JUL24,2024-07-23,176.5
MAI Dolar MATba,MAI.ROS/SEP24,2024-07-23,180.0
MAI Dolar MATba,MAI.ROS/DIC24,2024-07-23,180.0
MAI Dolar MATba,MAI.ROS/ABR25,2024-07-23,171.5
MAI Dolar MATba,MAI.ROS/JUL25,2024-07-23,165.5
MAI MIN,MAI.MIN/SEP24,2024-07-23,180.0
MAI MIN,MAI.MIN/DIC24,2024-07-23,180.0
MAI MIN,MAI.MIN/ABR25,2024-07-23,171.5
MAI Pesos MATba,MAI.ROS.P/DIS24,2024-07-23,162000.0
SOJ Disponible,SOJ.ROS/DIS24,2024-07-23,314.0
SOJ Dolar MATba,SOJ.ROS/JUL24,2024-07-23,316.3
SOJ Dolar MATba,SOJ.ROS/SEP24,2024-07-23,314.6
SOJ Dolar MATba,SOJ.ROS/NOV24,2024-07-23,313.5
SOJ Dolar MATba,SOJ.ROS/MAY25,2024-07-23,285.5
SOJ Dolar MATba,SOJ.ROS/JUL25,2024-07-23,289.0
SOJ MIN,SOJ.MIN/NOV24,2024-07-23,313.5
SOJ MIN,SOJ.MIN/MAY25,2024-07-23,285.5
SOJ Pesos MATba,SOJ.ROS.P/DIS24,2024-07-23,291000.0
SORGO,SOR.ROS/JUL24,2024-07-23,187.0
SORGO ARS,SOR.ROS.P/DIS24,2024-07-23,173000.0
SOY Matba,SOY.CME/OCT24,2024-07-23,395.2
SOY Matba,SOY.CME/ABR25,2024-07-23,411.0
SOY Matba,SOY.CME/JUN25,2024-07-23,412.0
TRI Disponible,TRI.ROS/DIS24,2024-07-23,248.0
TRI Dolar MATba,TRI.ROS/JUL24,2024-07-23,255.5
TRI Dolar MATba,TRI.ROS/SEP24,2024-07-23,248.0
TRI Dolar MATba,TRI.ROS/DIC24,2024-07-23,213.1
TRI Dolar MATba,TRI.ROS/ENE25,2024-07-23,215.0
TRI Dolar MATba,TRI.ROS/MAR25,2024-07-23,217.5
TRI MIN,TRI.MIN/DIC24,2024-07-23,213.1
TRI MIN,TRI.MIN/ENE25,2024-07-23,215.0
TRI Pesos MATba,TRI.ROS.P/DIS24,2024-07-23,230000.0
TRI Pesos MATba,TRI.BA.P/DIS24,2024-07-23,225000.0
