FECHA,PRODUCTO_1,TIPO_CONTRATO_1,PRODUCTO_2,TIPO_CONTRATO_2,AJUSTE_POS1,AJUSTE_POS2,SPREAD,RELACION%
2024-08-06,MAI Disponible,MAI.ROS/DIS24,MAI Dolar MATba,MAI.ROS/SEP24,174.0,177.9,-3.9,-2.192
2024-08-06,MAI Disponible,MAI.ROS/DIS24,MAI Dolar MATba,MAI.ROS/DIC24,174.0,178.9,-4.9,-2.739
2024-08-06,MAI Disponible,MAI.ROS/DIS24,MAI Dolar MATba,MAI.ROS/ABR25,174.0,172.0,2.0,1.163
2024-08-06,MAI Disponible,MAI.ROS/DIS24,MAI Dolar MATba,MAI.ROS/JUL25,174.0,166.6,7.4,4.442
2024-08-06,MAI Disponible,MAI.ROS/DIS24,SOJ Disponible,SOJ.ROS/DIS24,174.0,310.5,-136.5,-43.961
2024-08-06,MAI Disponible,MAI.ROS/DIS24,SOJ Dolar MATba,SOJ.ROS/SEP24,174.0,311.0,-137.0,-44.051
2024-08-06,MAI Disponible,MAI.ROS/DIS24,SOJ Dolar MATba,SOJ.ROS/NOV24,174.0,310.0,-136.0,-43.871
2024-08-06,MAI Disponible,MAI.ROS/DIS24,SOJ Dolar MATba,SOJ.ROS/ENE25,174.0,307.5,-133.5,-43.415
2024-08-06,MAI Disponible,MAI.ROS/DIS24,SOJ Dolar MATba,SOJ.ROS/MAY25,174.0,285.0,-111.0,-38.947
2024-08-06,MAI Disponible,MAI.ROS/DIS24,SOJ Dolar MATba,SOJ.ROS/JUL25,174.0,289.0,-115.0,-39.792
2024-08-06,MAI Disponible,MAI.ROS/DIS24,TRI Disponible,TRI.ROS/DIS24,174.0,251.5,-77.5,-30.815
2024-08-06,MAI Disponible,MAI.ROS/DIS24,TRI Dolar MATba,TRI.ROS/SEP24,174.0,248.0,-74.0,-29.839
2024-08-06,MAI Disponible,MAI.ROS/DIS24,TRI Dolar MATba,TRI.ROS/DIC24,174.0,220.0,-46.0,-20.909
2024-08-06,MAI Disponible,MAI.ROS/DIS24,TRI Dolar MATba,TRI.ROS/ENE25,174.0,221.5,-47.5,-21.445
2024-08-06,MAI Disponible,MAI.ROS/DIS24,TRI Dolar MATba,TRI.ROS/MAR25,174.0,223.0,-49.0,-21.973
2024-08-06,MAI Dolar MATba,MAI.ROS/SEP24,MAI Disponible,MAI.ROS/DIS24,177.9,174.0,3.9,2.241
